Period_dt,lwti,lpri,d2pri,llwip,dllgop,l2lwip,dl2lgop,vix,gs10,tb3ms,tedrate,baa10y,us_spread,gscpi,brent,gold,bdi,cny_usd,dxy,em_fx,reer,indpro,gpr_chn_l1,gpr_usa_l1
2013-10-31,3.7618202602012323,1.570278543484981,-0.1,4.7957816,-0.006216049,4.7926583,-0.003080368,14.692000102996825,2.81,0.02,0.23700000000000002,2.75,2.75,-0.29,0.0028360551410528956,-0.0023271136900042677,0.04117597476973778,0.00011438562675381014,-0.019538673558284536,-0.014179627571494713,-0.004815805117573291,0.005071694571082475,0.36942970752716064,2.3628108501434326
2013-11-30,3.6912261218574978,1.570278543484981,0.0,4.7942734,0.003501892,4.7957816,-0.006216049,15.407826050468113,2.62,0.05,0.19409090909090912,2.65,2.65,-0.19,-0.022840017225961518,-0.024029552024648737,0.006180284153254334,-0.004208188422822889,-0.002043612485327806,-0.007063479775763604,-0.014098434783298863,-0.0007890413557394282,0.33997613191604614,1.5660603046417236
2013-12-31,3.7279659552354403,1.570278543484981,0.0,4.799033,0.0038890839,4.7942734,0.003501892,12.923999977111816,2.72,0.07,0.17210526315789473,2.61,2.61,-0.7,-0.011846226003978444,-0.031417004258882386,0.00872102890777171,-0.0003446436664811259,0.009638403850313004,0.009151298210401393,0.005005809854740306,0.0023333600077277694,0.4999053180217743,1.7572429180145264
2014-01-31,3.6942287604832877,1.5296604950904071,-0.1,4.7977314,0.0049905777,4.799033,0.0038890839,14.192380905151367,2.9,0.07,0.1775,2.33,2.33,-0.5,0.027132158531072648,-0.043531025380509014,0.002838694071144232,-0.006339609077119723,-0.0007639432019184156,-0.0004830747028963245,-0.0006091247066573047,0.0020086317141130294,0.35803496837615967,1.631973385810852
2014-02-28,3.756596465727069,1.4436354751788136,-0.1,4.806434,0.004280567,4.7977314,0.0049905777,14.240952400934129,2.86,0.04,0.19666666666666666,2.4,2.4,-0.64,-0.02411490197708943,0.01845957691316169,-0.028013411970039925,0.0008751146050409719,0.01716522925776154,0.014891103923416082,0.010907876907231717,-0.003563932744874876,0.274941086769104,1.6967792510986328
2014-03-31,3.754358099569604,1.4436354751788136,0.2,4.812135,0.006114483,4.806434,0.004280567,15.470000116448654,2.71,0.05,0.1831578947368421,2.35,2.35,-0.29,0.007214162174134842,0.04349212277635495,-0.023906820894621816,0.014061425739483102,-0.00832963168683687,-0.0030053413192474565,0.0009638554963062873,0.007528506037616012,0.29448360204696655,1.4558274745941162
2014-04-30,3.7650161461801797,1.1379820462933719,-0.6,4.810627,-0.00736475,4.812135,0.006114483,14.836666742960611,2.72,0.05,0.18,2.26,2.26,-0.63,-0.013121218232134524,0.027698818217404053,-0.00939773366851071,0.011584765356984716,-0.0015342117856809168,-0.003970671651940094,0.003606206576729498,0.009638605074811402,0.606511652469635,2.701395273208618
2014-05-31,3.7641920601856835,1.0784510589549015,0.5,4.8144875,-0.003308773,4.810627,-0.00736475,14.198095321655273,2.71,0.03,0.1985,2.16,2.16,-0.83,0.002548696500857872,-0.028568708150357836,0.027713095805427912,0.00684544374874374,-0.0037590512274059407,0.00018725696085830634,-0.00192169167954237,0.0009672024963487402,0.4259178936481476,2.1098711490631104
2014-06-30,3.7975918330029184,1.0159731341796967,0.0,4.812151,0.0028691292,4.8144875,-0.003308773,12.475238028026762,2.56,0.03,0.194,2.22,2.22,-0.84,0.01641913893756808,-0.00750624854877735,-0.0005983617602378644,-0.0019190487410640777,-0.0013748988311359511,-0.007638755783798246,-0.000962232453362688,0.00382432097151586,0.45531514286994934,1.802445888519287
2014-07-31,3.775451783671495,1.0159731341796967,0.1,4.814018,0.004512787,4.812151,0.0028691292,11.541428565979004,2.6,0.04,0.19428571428571428,2.18,2.18,-0.7,0.0203874865953253,-0.00750829123887975,0.024491955723323855,-0.006987587363838754,-0.005934773610746902,-0.0015608639947961578,0.0033637705912479277,0.0034263137889523065,0.22208121418952942,2.1296002864837646
