Period_dt,lwti,lpri,d2pri,llwip,dllgop,l2lwip,dl2lgop,vix,gs10,tb3ms,tedrate,baa10y,us_spread,brent,gold,bdi,cny_usd,indpro,unemp,sentiment,cpi,gpr_chn_l1,gpr_usa_l1,dxy
2001-02-28,2.8227983330634396,-0.19869011034923395,-0.2,4.4741898,-0.0011949539,4.487725,-0.017967701,24.91857147216797,5.16,5.15,0.550952380952381,2.62,2.62,-0.001382660245446754,-0.02220078516222923,0.0341090201426848,8.456404221135472e-05,-0.004770869350923412,4.2,94.7,0.0057110377955149,0.2576051354408264,1.0246317386627197,0.0095914240162171
2001-03-31,2.7388046517672424,-0.19869011034923395,0.4,4.4824734,-0.006942749,4.4741898,-0.0011949539,23.411579132080078,5.1,4.88,0.46421052631578946,2.88,2.88,0.07076257035926847,-0.013728977773862283,0.006989642829219989,2.415984151271644e-05,-0.006534765134370346,4.2,90.6,0.0022753138371349,0.31276655197143555,1.1720848083496094,0.0146126125814891
2001-04-30,2.743323952730095,-0.7326682560454049,-0.6,4.473131,0.009589195,4.4824734,-0.006942749,28.496818369085137,4.89,4.42,0.5395454545454546,3.04,3.04,-0.11575147520103046,0.004419896698150794,-0.14864944013782377,-7.248127570225193e-05,-0.0020524117552422894,4.3,91.5,0.0005680204640086,0.25737208127975464,1.1910302639007568,0.0435093516072138
2001-05-31,2.782131315000374,-1.0159731341796872,0.2,4.468717,-0.013489246,4.473131,0.009589195,28.13399991989136,5.14,3.87,0.7510526315789473,2.73,2.73,0.046260212712504245,-0.009742011299343822,-0.04644801172212176,-3.624260802181922e-05,-0.003596380672338917,4.4,88.4,0.0017021280705309,0.4010493755340576,1.1368091106414795,-0.0163253248322359
2001-06-30,2.74288922355059,-1.0159731341796872,0.4,4.468513,-0.010138035,4.468717,-0.013489246,22.944090929898348,5.39,3.62,0.4847619047619047,2.65,2.65,0.09852153208899805,0.0445986378005907,0.05592926603955384,-4.832552071709628e-05,-0.004787344785630587,4.3,92.0,0.0050890695074716,0.3331435024738312,1.2756264209747314,0.0129083361176984
2001-07-31,2.7020192744169207,-0.7326682560454051,0.4,4.466077,-0.02319765,4.468513,-0.010138035,20.94047619047619,5.28,3.49,0.35,2.65,2.65,-0.016544769915813884,-0.007851272384410635,-0.02441398434809905,-3.624567317661587e-05,-0.005294243917338015,4.5,92.6,0.0022535220804433,0.28581637144088745,1.5124449729919434,0.0043186014286682
2001-08-31,2.739857616219795,-0.7326682560454051,-0.4,4.459097,0.028868675,4.466077,-0.02319765,22.31619053795224,5.24,3.51,0.23476190476190475,2.78,2.78,-0.12349815590324065,-0.010041738649872123,-0.054750268624205845,3.624567317661587e-05,-0.006424803271452895,4.6,92.4,-0.0016896652851272,0.31052976846694946,1.317399024963379,-0.0101962707592999
2001-09-30,2.6762954653251754,-0.48121182505959686,0.3,4.4645696,0.0025458336,4.459097,0.028868675,21.86173903423807,4.97,3.36,0.205,2.9,2.9,0.04241186573903111,0.01800315330148905,-0.0705285916229954,-1.2081745087488827e-05,-0.0011484395650906976,4.9,91.5,0.0,0.2181500941514969,1.3494141101837158,-0.0236644514045041
2001-10-31,2.526178993336358,-0.3900353197707083,-0.2,4.457724,-0.0068597794,4.4645696,0.0025458336,35.065333429972334,4.73,2.64,0.3464705882352941,3.42,3.42,-0.002358698546734761,0.0396950335147519,-0.16959722623009554,-1.2081891057835747e-05,-0.005077876004763837,5.0,81.8,0.0039381204201376,0.7703881859779358,13.229009628295898,0.0064038720479118
2001-11-30,2.4052942094735887,-0.2956730475634154,-5.551115e-17,4.454439,-0.0015153885,4.457724,-0.0068597794,32.721304603244945,4.57,2.16,0.2409090909090909,3.38,3.38,-0.22108541940133852,-0.0012710070910308957,0.029047405960721306,0.0,-0.0027452194543418074,5.3,82.7,-0.0028113597375467,0.6591466665267944,13.10019588470459,0.0124651556959607
2001-12-31,2.3884214093328517,7.327471962526006e-15,0.2,4.451744,0.0051584244,4.454439,-0.0015153885,26.63095238095238,4.65,1.87,0.23349999999999999,3.1,3.1,-0.08855656925937927,-0.024678481410630226,0.07052288211543001,4.832668842347232e-05,-0.006065460085318719,5.5,83.9,-0.000563221642599,0.360622376203537,7.890068531036377,0.0001987738604194
2002-01-31,2.4041680832284538,7.327471962526006e-15,-0.3,4.4525175,-0.0060048103,4.451744,0.0051584244,23.720000076293946,5.09,1.69,0.23526315789473684,2.85,2.85,-0.0049068550601978345,-0.0011231681766226131,0.054866382705203165,-7.249090846395134e-05,-0.0004275098074009165,5.7,88.8,-0.0005635390399918,0.38934099674224854,6.047550678253174,0.016931224579503
2002-02-28,2.4554508384973874,0.19869011034924872,0.2,4.4630637,-0.01092577,4.4525175,-0.0060048103,22.252857208251953,5.04,1.65,0.1680952380952381,2.85,2.85,0.03733467054858686,0.02031073120902871,-0.03587519909215686,-1.2082328989748703e-05,0.006633064841170544,5.7,93.0,0.0016896652851272,0.3410267233848572,4.232385158538818,0.0205398357687771
2002-03-31,2.615984053450956,-0.2956730475634154,-0.7,4.4603567,0.0010647774,4.4630637,-0.01092577,22.875789843107526,4.91,1.72,0.17789473684210527,2.98,2.98,0.04327365350715784,0.04850086591868408,-0.03964097286885604,0.0,0.00011522468260949381,5.7,90.7,0.001686815131479,0.3734973669052124,3.621983051300049,-0.0012788859650161
2002-04-30,2.6845374090744527,-0.19869011034923423,0.6,4.470051,-0.003042698,4.4603567,0.0010647774,18.98499994277954,5.28,1.79,0.20049999999999998,2.81,2.81,0.15592113066342694,-0.004885008696642323,0.032669075691064364,0.00010873570589264858,0.0072123326949231625,5.7,95.7,0.0028050509276082,0.28381118178367615,3.863307237625122,-0.0079511378380026
