dyad,h,coef,se,n,sig
CHN-GBR,29,0.44710001052590087,0.5717937624607312,354,0
CHN-GBR,30,0.5585558963648509,0.580586092446665,353,0
CHN-GBR,31,0.9535884608194465,0.5663400021593212,352,1
CHN-GBR,32,1.5670774412319588,0.6143809767741554,351,1
CHN-GBR,33,1.1865580575395143,0.733652709042245,350,0
CHN-GBR,34,1.3629749244501,0.7609017403192192,349,1
CHN-GBR,35,1.3395764238484844,0.7474099849886632,348,1
CHN-GBR,36,1.2516772797971498,0.6805595594086855,347,1
CHN-GBR,37,0.9091349171285401,0.706417159208263,346,0
CHN-GBR,38,1.1820268803057843,0.6861598693030834,345,1
CHN-GBR,39,1.3169194561996846,0.6394142998649156,344,1
CHN-GBR,40,1.2709974456265627,0.6643043460789755,343,1
CHN-GBR,41,1.0068033047573408,0.6597933407384281,342,0
CHN-GBR,42,0.9835405451703991,0.5714229212190659,341,1
CHN-GBR,43,0.8032080796474474,0.6024448889703908,340,0
CHN-GBR,44,0.4935085646757216,0.684239319027497,339,0
CHN-GBR,45,0.510595332027151,0.7052630167520668,338,0
CHN-GBR,46,0.8551035342861724,0.6829624181824387,337,0
CHN-GBR,47,0.8980851445048756,0.7594185531735399,336,0
CHN-GBR,48,1.381910467367561,0.8184855941728811,335,1
CHN-RUS,0,-0.8765131658146856,0.43781720233227955,383,1
CHN-RUS,1,-1.1060126786542241,0.5951203399646168,382,1
CHN-RUS,2,-0.44924074441951234,0.5362294391487761,381,0
CHN-RUS,3,-0.1556002038269071,0.5126276994678424,380,0
CHN-RUS,4,0.407673244990292,0.6699856356861743,379,0
CHN-RUS,5,0.8791579905955587,0.6922938008121594,378,0
CHN-RUS,6,1.1015275920071872,0.6664854819802711,377,1
CHN-RUS,7,0.8790106235319399,0.5648508662639612,376,0
CHN-RUS,8,0.40807029326970223,0.5059756313999537,375,0
CHN-RUS,9,0.8145913301123073,0.4970639866418863,374,0
CHN-RUS,10,0.6182830522375298,0.4874259173725151,373,0
CHN-RUS,11,0.2636554748387425,0.48626392677259156,372,0
CHN-RUS,12,0.05079678918264108,0.5887311493070072,371,0
CHN-RUS,13,-0.007985023301444016,0.6696539098008318,370,0
CHN-RUS,14,-0.3990225216766703,0.6451382425569518,369,0
CHN-RUS,15,0.3862889818192343,0.6152588979812713,368,0
CHN-RUS,16,0.8909909808935481,0.7123433489533226,367,0
CHN-RUS,17,0.6856165568315191,0.6399480008471978,366,0
CHN-RUS,18,0.647851998488477,0.5927975982521503,365,0
CHN-RUS,19,0.86809438115597,0.6237733462154045,364,0
CHN-RUS,20,0.5791294594382634,0.6141533982361732,363,0
CHN-RUS,21,0.4668995767569868,0.591285096053741,362,0
CHN-RUS,22,0.32710867779678665,0.6478667866909398,361,0
CHN-RUS,23,0.4350866226523067,0.6856133121729316,360,0
CHN-RUS,24,0.4150203512108419,0.793631774520755,359,0
CHN-RUS,25,0.570799511304358,0.7210063327766756,358,0
CHN-RUS,26,0.9532913144066697,0.7333793869977611,357,0
CHN-RUS,27,1.3048964413028443,0.7164960658632921,356,1
CHN-RUS,28,1.5841914086631732,0.695186647231122,355,1
CHN-RUS,29,1.610074318232364,0.6841681850436133,354,1
CHN-RUS,30,0.9027797151647974,0.733033780319776,353,0
CHN-RUS,31,0.37248980419826694,0.8497952440476682,352,0
CHN-RUS,32,0.2462544501759112,0.9580647231013187,351,0
CHN-RUS,33,0.11838391263154335,0.981356462862186,350,0
CHN-RUS,34,0.19340102429123363,1.0971838706286143,349,0
CHN-RUS,35,0.6410000084651983,1.01598115155201,348,0
CHN-RUS,36,1.0125682189973304,0.915761104952444,347,0
CHN-RUS,37,1.1421712408191524,0.7915593584205501,346,0
CHN-RUS,38,1.1300328190409346,0.7635081943040479,345,0
CHN-RUS,39,1.4334580295690103,0.7275796603748976,344,1
CHN-RUS,40,1.5839784200652502,0.8129084224900833,343,1
CHN-RUS,41,1.1153212940189405,0.7676471061130044,342,0
CHN-RUS,42,0.740132570717833,0.8595059340725274,341,0
CHN-RUS,43,0.8266634194151266,0.850928952398439,340,0
CHN-RUS,44,0.45393446789239533,0.7145337289585468,339,0
CHN-RUS,45,0.6514555604517227,0.7154604558063109,338,0
CHN-RUS,46,0.9594402946386253,0.771820340675761,337,0
CHN-RUS,47,1.1313419802318094,0.7263588864817618,336,0
CHN-RUS,48,1.4301925449180999,0.7604297296187629,335,1
CHN-IND,0,-0.00819175238848402,0.10005316971011477,383,0
CHN-IND,1,0.053527544904682145,0.1414041131295139,382,0
CHN-IND,2,0.06719678622584979,0.20526055760238965,381,0
CHN-IND,3,-0.17184002636145124,0.2469123120210948,380,0
CHN-IND,4,-0.050095624404320915,0.28337976071301335,379,0
CHN-IND,5,0.047098459662720416,0.3451678236472373,378,0
CHN-IND,6,0.09522852304553453,0.3224025877317474,377,0
CHN-IND,7,0.19962930432257053,0.26353027164310766,376,0
CHN-IND,8,0.3355105958187323,0.2747583469637595,375,0
CHN-IND,9,0.43263584636110863,0.2943214993463415,374,0
CHN-IND,10,0.4394714457066584,0.27509664629019354,373,0
CHN-IND,11,0.48316492684398327,0.35782271171401864,372,0
CHN-IND,12,0.3936013121315227,0.39300051855758905,371,0
CHN-IND,13,0.3675781735471446,0.3670274034236915,370,0
CHN-IND,14,0.4047679824527677,0.3828403478524008,369,0
CHN-IND,15,0.3710121624067142,0.38558937408076144,368,0
CHN-IND,16,0.4493636572910873,0.3950106575710452,367,0
CHN-IND,17,0.49012671210925873,0.35745194656819806,366,0
CHN-IND,18,0.46511458713257525,0.368924391617218,365,0
CHN-IND,19,0.5208952896778101,0.41506616673835894,364,0
CHN-IND,20,0.5300338998717962,0.4084961765590713,363,0
CHN-IND,21,0.23144757965519602,0.36765104532680276,362,0
CHN-IND,22,0.22556858622419895,0.37373859841990725,361,0
CHN-IND,23,0.08670630174310645,0.33021856231422053,360,0
CHN-IND,24,-0.10641991124748529,0.3551848651875769,359,0
CHN-IND,25,-0.28825411854131744,0.3750406178615813,358,0
CHN-IND,26,-0.30109817392258265,0.32923946812582877,357,0
CHN-IND,27,-0.46506953035714105,0.492960488215521,356,0
CHN-IND,28,-0.5162997264255864,0.5608156063550285,355,0
CHN-IND,29,-0.43768412059534967,0.43540770389780425,354,0
CHN-IND,30,-0.11203452361041855,0.3443593689984889,353,0
CHN-IND,31,-0.007457030177647539,0.32955008427415056,352,0
CHN-IND,32,0.11208755302186546,0.3234537292712134,351,0
CHN-IND,33,0.3326860762645083,0.4639048789682558,350,0
CHN-IND,34,0.35774864416134733,0.40190025325254825,349,0
CHN-IND,35,0.2840181727633535,0.3277659369891972,348,0
CHN-IND,36,0.6825866416165809,0.3073414995996862,347,1
CHN-IND,37,0.906557691285343,0.3522291521200683,346,1
CHN-IND,38,1.0687158579430616,0.4375147910234701,345,1
CHN-IND,39,1.2232261312287847,0.45883811296569066,344,1
CHN-IND,40,1.2497658051634062,0.45787144337350294,343,1
CHN-IND,41,1.019591963196035,0.5280905257377263,342,1
CHN-IND,42,0.974078062280114,0.5172245663982987,341,1
CHN-IND,43,0.770940643222275,0.43643854897114126,340,1
CHN-IND,44,0.688954572385228,0.3635917731927569,339,1
CHN-IND,45,0.6161800505456085,0.37274677294268466,338,1
CHN-IND,46,0.700656516537947,0.3841916375410958,337,1
CHN-IND,47,0.6872162042109267,0.3804907917539636,336,1
CHN-IND,48,0.7007766272363369,0.39919915870799116,335,1
