outcome,h,coef,se,lo90,hi90
Log S&P 500 index,2,0.03612607787954403,0.07510684419722509,-0.08742468082489124,0.1596768365839793
Log S&P 500 index,3,0.005143033054537227,0.0570190259804289,-0.08865326468326831,0.09893933079234277
Log S&P 500 index,4,0.029390982513859853,0.053156659684179784,-0.05805172266661589,0.1168336876943356
Log S&P 500 index,5,-0.027371846038931835,0.05229990174149954,-0.11340518440369858,0.05866149232583491
Log S&P 500 index,6,-0.03988366811290689,0.05474892571373164,-0.12994565091199545,0.050178314686181655
Log S&P 500 index,7,-0.012094027634702798,0.08141141966551806,-0.14601581298448,0.1218277577150744
Log S&P 500 index,8,-0.024756074701144826,0.09125541164419282,-0.17487122685584203,0.12535907745355238
Log S&P 500 index,9,0.044866470882880094,0.10201083746603176,-0.12294135674874215,0.21267429851450234
Log S&P 500 index,10,0.07380470969610542,0.0944601125478379,-0.08158217544508792,0.22919159483729876
Log S&P 500 index,11,0.013323109588782245,0.07207459436901947,-0.10523959814825479,0.13188581732581928
Log S&P 500 index,12,0.007653585834304977,0.06768792013751869,-0.10369304279191327,0.11900021446052322
Log S&P 500 index,13,-0.049661697045848996,0.06993913045100436,-0.16471156663775116,0.06538817254605318
Log S&P 500 index,14,0.02980459371883626,0.08814850223573091,-0.1151996924589411,0.17480887989661362
Log S&P 500 index,15,-0.021141267999610136,0.09601330395697391,-0.1790831530088322,0.13680061700961194
Log S&P 500 index,16,-0.06454171426321409,0.10061368779883144,-0.2300512306922918,0.10096780216586362
Log S&P 500 index,17,-0.016230690154770855,0.10136697472304353,-0.18297936357417746,0.15051798326463575
Log S&P 500 index,18,0.010148612197099283,0.10336969444832271,-0.15989453517039157,0.18019175956459013
Log S&P 500 index,19,0.04290843853777915,0.1077393179059516,-0.13432273941751124,0.22013961649306954
Log S&P 500 index,20,0.01481414004774706,0.1142357591916016,-0.17310368382243757,0.2027319639179317
Log S&P 500 index,21,0.020841097082666238,0.11005518711856951,-0.1601996857273806,0.20188187989271308
