dyad,h,coef,se,lo90,hi90
France,38,0.3978970845346339,0.5780212675045191,-0.5529479005103001,1.348742069579568
France,39,0.1764946439070627,0.5990648800453311,-0.8089670837675069,1.1619563715816323
France,40,0.2068023414030904,0.60313088027566,-0.7853479566503703,1.198952639456551
France,41,0.20350184539711336,0.602044780686709,-0.7868618188325229,1.1938655096267496
France,42,0.3207115306704509,0.5722964099826626,-0.6207160637510292,1.262139125091931
France,43,0.5784682907888055,0.5815692669846527,-0.3782131534009483,1.5351497349785592
France,44,0.28807454488196527,0.6261917731522173,-0.7420109219534321,1.3181600117173626
France,45,0.29257553925344837,0.679121381904851,-0.8245791339800317,1.4097302124869284
France,46,0.21841923410465824,0.7677984795090299,-1.0446092646876959,1.4814477328970124
France,47,0.3060418578725148,0.8023566414499244,-1.0138348173126108,1.6259185330576404
France,48,0.011458462368864275,0.7742499591120101,-1.2621827203703924,1.285099645108121
Germany,0,-0.20940400574545492,0.22214101885600807,-0.5748259817635881,0.15601797027267833
Germany,1,-0.564185120343609,0.37561983037028984,-1.182079741302736,0.053709500615517825
Germany,2,-0.552335129250423,0.5031560722530528,-1.380026868106695,0.27535660960584885
Germany,3,-0.5956607929874735,0.6391696286237882,-1.6470948320736052,0.4557732460986581
Germany,4,-0.6378671839265735,0.6792320933011787,-1.7552039774070125,0.47946960955386553
Germany,5,-0.2764567439771781,0.7703765508062806,-1.5437261700535099,0.9908126820991536
Germany,6,-0.39064966370278853,0.7065397948441061,-1.552907626221343,0.771608298815766
Germany,7,-0.5043888445761695,0.7831026823152725,-1.7925927569847928,0.7838150678324538
Germany,8,0.4029578651097836,0.8806161189351502,-1.0456556505385386,1.8515713807581058
Germany,9,0.8611062264026259,0.9680143551107613,-0.7312773877545764,2.453489840559828
Germany,10,1.2718879117928736,0.9786607691274312,-0.3380090534217506,2.881784877007498
Germany,11,0.9361654982239997,0.8812275415686838,-0.513453807656485,2.3857848041044845
Germany,12,1.1325775135228469,0.921538866639778,-0.3833539220995881,2.648508949145282
Germany,13,1.7248076792893698,0.8803011280801393,0.27671232359754083,3.172903034981199
Germany,14,1.881130301830126,0.9051137863277832,0.39221812332092254,3.3700424803393294
Germany,15,2.0822065098182065,0.9967425555898118,0.442565005872966,3.721848013763447
Germany,16,1.594485964411433,0.9943331495638208,-0.041192066621052126,3.2301639954439185
Germany,17,1.5822460172639694,1.030812416105148,-0.11344040722899895,3.2779324417569375
Germany,18,1.7898665638349485,1.1151496762180038,-0.04455465354366783,3.6242877812135648
Germany,19,1.6539528841458377,1.2965790530916679,-0.47891965818995574,3.7868254264816312
Germany,20,1.5481185931348591,1.3963750427352744,-0.7489183521646674,3.8451555384343856
Germany,21,1.6037992791061697,1.5279346678575516,-0.9096532495195029,4.117251807731842
