,ea_gpr,ea_gpr_diff
2020-11-01,1.2363355543859431,-0.0012577810064950956
2020-12-01,1.080040686235352,-0.15629486815059113
2021-01-01,1.157809457055273,0.07776877081992106
2021-02-01,1.1132870474205667,-0.04452240963470633
2021-03-01,1.1108805206409356,-0.0024065267796311574
2021-04-01,1.213348466185634,0.1024679455446984
2021-05-01,1.2674673138728556,0.05411884768722164
2021-06-01,1.1036452455586812,-0.16382206831417445
2021-07-01,1.0573289079472294,-0.04631633761145171
2021-08-01,1.4182111906441097,0.3608822826968803
2021-09-01,1.154106112892343,-0.2641050777517666
2021-10-01,1.0687384964346025,-0.0853676164577406
2021-11-01,1.1548040083807307,0.08606551194612821
2021-12-01,1.2736319719994547,0.11882796361872394
2022-01-01,1.6919989041595875,0.4183669321601329
2022-02-01,2.818336728610731,1.1263378244511433
