,gpr,gpr_threats,gpr_acts
2008-09-01,67.27860943343649,72.77981711512598,35.10522077704116
2008-10-01,57.425853341385036,58.6802966958099,47.942661760364196
2008-11-01,56.32131718229799,53.791156432279664,64.92038603780773
2008-12-01,74.35746879188454,78.26351110583283,49.075352598836965
2009-01-01,74.14281255748698,65.05467389606841,110.30404556907101
2009-02-01,44.44972909254745,44.54301956218409,39.93292940970258
2009-03-01,57.467410401079334,59.54262558743457,50.86604515363605
2009-04-01,63.68460140863226,68.47146244340404,41.92558468553822
2009-05-01,62.05961464872408,62.07479494398609,56.29730573652273
2009-06-01,42.76364924182331,41.16225144964438,49.982442971672846
2009-07-01,63.11038632514268,66.10644859035698,50.06682758598371
2009-08-01,53.50026639830588,48.11507616781984,77.57664048848322
2009-09-01,63.679380008296235,57.57842307956466,88.41320103092201
2009-10-01,60.82828543269181,52.33506624695443,97.01511933591219
2009-11-01,57.461111722369786,51.012410261982346,87.84252453899097
2009-12-01,86.20785476424857,82.51836022196122,104.60844454055314
2010-01-01,97.52235642925142,96.02717505562957,111.859284409196
2010-02-01,59.49038490562843,56.66939772728774,68.97431655910235
2010-03-01,44.62130882123805,46.700597633189176,35.0867835051685
2010-04-01,55.61170742199476,59.40528282055985,34.13154898422805
2010-05-01,64.00690175738188,65.95938587037305,55.021922540502146
2010-06-01,54.633616765501195,56.447365620008895,44.208097917433605
2010-07-01,56.55792653904427,54.88921892397026,59.25985503383539
2010-08-01,43.87535055982433,43.64852785437078,40.924397707861495
2010-09-01,63.947083368197546,66.7053131416311,46.654031496739194
2010-10-01,69.00421668839219,75.48887278355156,36.59865700464732
2010-11-01,79.51574305711718,85.84568804783848,50.13667450998543
2010-12-01,72.65123108695941,72.76769959451764,67.11685540173686
2011-01-01,55.91921780834242,55.382572446943456,54.944452630588756
2011-02-01,71.93990057497993,77.70008071793319,38.11492892697221
2011-03-01,124.37798061060018,138.24121163003926,62.745175401023076
2011-04-01,63.088798371816814,63.64044704088562,56.30493791229571
2011-05-01,73.69422041183616,74.81377865649122,68.13358040742692
2011-06-01,58.51389974183628,59.840960771243715,48.49183158270024
2011-07-01,41.88779422585881,44.661622990159756,28.259633553717773
2011-08-01,40.43248265310054,31.313490546678523,83.15690244039877
2011-09-01,45.25029362375579,48.856055753054505,32.07544797560668
2011-10-01,48.703856831119694,53.11390048125929,24.95106723896956
2011-11-01,63.04215776014864,65.17939647700865,50.30267333198098
2011-12-01,45.25485854368998,45.35979923797969,42.23352828513021
2012-01-01,57.84085284279069,63.23686177019302,27.030134441046776
2012-02-01,70.49414226874191,76.08535496072048,45.774461724873795
2012-03-01,77.67869036175065,81.63420214568093,51.8581921770112
2012-04-01,57.462745366706656,59.370416774094515,46.49735500176561
2012-05-01,55.72221937750539,53.41053708615704,67.85193580363008
2012-06-01,43.272366783330604,45.227168246055776,31.734367908157736
2012-07-01,55.8215543894031,57.456551440641434,42.97434856689177
2012-08-01,47.79657215723121,49.72868010229414,37.54560446950424
2012-09-01,61.95020494611124,68.52804696488946,28.532957629469934
2012-10-01,65.61992388217159,64.56448292989826,67.8215932537017
2012-11-01,56.6946483565665,54.323578733735964,70.1688902690935
2012-12-01,53.51677931417693,59.12368597172591,26.84256299889263
2013-01-01,83.87836453974666,89.91215429337032,54.28552624092233
2013-02-01,63.84775042833538,68.50460126439977,38.46163603072941
2013-03-01,77.13172365144038,87.23009070393395,22.32402096961234
2013-04-01,99.32511340387533,100.4122167812415,104.48267895617083
2013-05-01,66.12562781454426,64.25535373245312,71.71542362258955
2013-06-01,66.8991987952653,72.24775378000818,35.48219149635678
2013-07-01,41.9861196961509,45.935483082318726,20.96501347481231
2013-08-01,99.35615848902783,108.76527478224973,53.39679977424271
2013-09-01,142.848635652077,162.35238339968302,39.18852132407634
2013-10-01,59.13499880251033,63.73783402601275,44.128273176929596
2013-11-01,61.444404447018975,66.68146721753291,31.054599263968157
2013-12-01,63.179095594067604,66.6284217233733,42.79258638217078
2014-01-01,59.375368740478194,61.7267371073538,44.40177721167432
2014-02-01,57.608865910260945,62.239913232188314,30.435403216482072
2014-03-01,147.65536698868772,169.26972489083192,36.50829997745063
2014-04-01,89.68230232460522,99.27815526936985,36.09916619608229
2014-05-01,79.52875150477433,82.84400430804165,58.01551264429594
2014-06-01,105.24500747957207,110.56438359095758,78.64165195543046
2014-07-01,148.6660448000181,149.53994148566073,135.8120724154691
2014-08-01,200.7027537618034,212.56415103978162,141.37798967527314
2014-09-01,220.26111443249144,248.5427648677668,79.65186139848198
2014-10-01,133.0389370495653,136.65761668271455,124.16692792612187
2014-11-01,102.12232529819445,111.09705475394205,55.3680173664016
2014-12-01,88.01731562181845,91.76536735295396,67.7203213035604
2015-01-01,128.77408778445857,132.51814381309208,107.82553770142584
2015-02-01,119.5210458507028,121.07298489894612,107.06547128119672
2015-03-01,96.26229806725155,100.80208042007419,69.64125173187854
2015-04-01,100.91005376741198,101.51571826633985,103.90802473614384
2015-05-01,86.23354716389052,91.85863717068628,51.73649359351384
2015-06-01,79.00085809940897,87.74130266851823,30.440682924218336
