Period_dt,lwti,lpri,d2pri,llwip,dllgop,dl2lgop,vix,gs10,brent,gold,bdi,cny_usd,indpro,gpr_chn_l1,gpr_usa_l1,L1_lwti,L2_lwti,L3_lwti,L1_lpri,L2_lpri,n_events_total,n_events_kw,gpr_kw_share,gpr_cameo_share_appendix,d2gpr_kw,gpr_kw_z,d2gpr_kw_z,built_from,n_days_sampled,gpr_global
1992-10-01,2.728217151487821,-0.9503469298211292,0.6,4.165362,0.004371166,-0.00022172928,13.696666581290108,6.42,0.0265914236119817,0.0068846587784907,-0.0051970919850674,0.0172129475047586,0.0032931151719015,0.2456625252962112,1.700445294380188,2.7422792839828904,2.7188814819387828,2.739990162263676,-0.9503469298211292,-0.4812118250595971,,,,,,,,gdelt1_raw_pilot,102,29.538812808208156
1992-11-01,2.6613268650884407,-0.9503469298211292,0.0,4.167058,0.013216972,0.004371166,17.636818278919566,6.59,-0.0004037232307836,-0.0030443189021305,0.0441935367871586,0.0092785473505441,0.0067288906847986,0.1686280071735382,1.481773853302002,2.728217151487821,2.7422792839828904,2.7188814819387828,-0.9503469298211292,-0.9503469298211292,,,,,,,,gdelt1_raw_pilot,102,32.91313309420664
1992-12-01,2.6128665066222427,-0.8813735870195377,0.1,4.1664395,-0.0047678947,0.013216972,14.424499940872192,6.87,-0.0530841872465441,-0.0275554673224984,0.0344983004048646,0.0298619471895345,0.0037850447982945,0.2565084099769592,2.0712099075317383,2.6613268650884407,2.728217151487821,2.7422792839828904,-0.9503469298211292,-0.9503469298211292,,,,,,,,gdelt1_raw_pilot,102,53.85784211844813
1993-01-01,2.592103713253128,-0.8813735870195377,-0.1,4.160696,0.0052895546,-0.0047678947,12.19136363809759,6.77,-0.0575608564973024,-0.0005971575479017,-0.1397894502078394,0.0055824775638559,0.0016874963663999,0.2014585584402084,1.990410566329956,2.6128665066222427,2.6613268650884407,2.728217151487821,-0.8813735870195377,-0.9503469298211292,,,,,,,,gdelt1_raw_pilot,102,84.45170385697493
1993-02-01,2.640005267920583,-0.8813735870195377,0.0,4.1684146,-0.002711296,0.0052895546,12.408999967575074,6.6,-0.0424279088324053,-0.017504928547412,0.076620196172465,0.0040153745667164,0.0038325424872445,0.2228051871061325,2.8389692306518555,2.592103713253128,2.6128665066222427,2.6613268650884407,-0.8813735870195377,-0.8813735870195377,,,,,,,,gdelt1_raw_pilot,102,35.55383384155905
1993-03-01,2.6531633320277312,-0.8813735870195377,0.0,4.1754866,0.005844116,-0.002711296,13.721578949376156,6.26,0.0602830196777253,0.0009114109271077,0.0372817258994153,-0.0060291242924326,0.0048043938793247,0.1580670624971389,1.9494937658309937,2.640005267920583,2.592103713253128,2.6128665066222427,-0.8813735870195377,-0.8813735870195377,,,,,,,,gdelt1_raw_pilot,102,41.28082471390542
1993-04-01,2.645888701165054,-0.8813735870195377,0.0,4.1746163,-0.011794567,0.005844116,13.606086855349334,5.98,0.0171219472250823,0.0023354929556065,0.0489837818651341,-0.0037082537989152,-0.0008739137323683,0.1936535984277725,2.164163827896118,2.6531633320277312,2.640005267920583,2.592103713253128,-0.8813735870195377,-0.8813735870195377,,,,,,,,gdelt1_raw_pilot,102,46.785794702597
1993-05-01,2.6266967256709357,-0.8813735870195377,0.0,4.177452,-0.011739731,-0.011794567,12.840952419099354,5.97,-0.0059112946609363,0.0359141880755649,0.0580994760251663,-0.0044926611066249,0.002739405003636,0.2219294011592865,2.441223382949829,2.645888701165054,2.6531633320277312,2.640005267920583,-0.8813735870195377,-0.8813735870195377,,,,,,,,gdelt1_raw_pilot,102,54.37788813845057
1993-06-01,2.581392139820594,-0.8813735870195377,0.0,4.1803255,0.003124237,-0.011739731,13.6060001373291,6.04,-0.0089615733111574,0.0706029536335535,0.062938554956327,0.0062353379500748,-0.0037915803418799,0.2676182091236114,2.5114939212799072,2.6266967256709357,2.645888701165054,2.6531633320277312,-0.8813735870195377,-0.8813735870195377,,,,,,,,gdelt1_raw_pilot,102,51.82169097426441
1993-07-01,2.514790143715252,-0.8813735870195377,0.0,4.176806,-0.0047678947,0.003124237,12.52409081025557,5.96,-0.0473070924439582,0.0127459205888085,0.0153973263593449,0.0056081890905688,0.0022526473495334,0.2313695698976516,2.272256374359131,2.581392139820594,2.6266967256709357,2.645888701165054,-0.8813735870195377,-0.8813735870195377,,,,,,,,gdelt1_raw_pilot,102,58.85470012936468
