,n_events_total,n_events_kw,n_events_with_url,pct_events_with_url,gpr_hybrid_share,gpr_url_share,gpr_nourl_cameo_share,gpr_kw_share,d2gpr_kw
1999-10-01,839.0,41.0,0.0,0.0,0.04886769964243146,,0.04886769964243146,0.04886769964243146,0.04209720783915278
1999-11-01,1482.0,41.0,0.0,0.0,0.02766531713900135,,0.02766531713900135,0.02766531713900135,-0.033184836244222235
1999-12-01,944.0,39.0,0.0,0.0,0.0413135593220339,,0.0413135593220339,0.0413135593220339,0.03485062468646266
2000-01-01,892.0,36.0,0.0,0.0,0.04035874439461883,,0.04035874439461883,0.04035874439461883,-0.014603057110447615
2000-02-01,775.0,55.0,0.0,0.0,0.07096774193548387,,0.07096774193548387,0.07096774193548387,0.031563812468280106
2000-03-01,753.0,67.0,0.0,0.0,0.08897742363877822,,0.08897742363877822,0.08897742363877822,-0.012599315837570686
2000-04-01,808.0,60.0,0.0,0.0,0.07425742574257425,,0.07425742574257425,0.07425742574257425,-0.032729679599498324
2000-05-01,653.0,29.0,0.0,0.0,0.0444104134762634,,0.0444104134762634,0.0444104134762634,-0.015127014370106884
2000-06-01,570.0,29.0,0.0,0.0,0.05087719298245614,,0.05087719298245614,0.05087719298245614,0.036313791772503594
2000-07-01,643.0,49.0,0.0,0.0,0.07620528771384137,,0.07620528771384137,0.07620528771384137,0.018861315225192493
2000-08-01,531.0,12.0,0.0,0.0,0.022598870056497175,,0.022598870056497175,0.022598870056497175,-0.07893451238872945
2000-09-01,711.0,40.0,0.0,0.0,0.05625879043600562,,0.05625879043600562,0.05625879043600562,0.08726633803685264
2000-10-01,351.0,15.0,0.0,0.0,0.042735042735042736,,0.042735042735042736,0.042735042735042736,-0.047183668080471336
2000-11-01,399.0,14.0,0.0,0.0,0.03508771929824561,,0.03508771929824561,0.03508771929824561,0.005876424264165764
2000-12-01,366.0,25.0,0.0,0.0,0.06830601092896176,,0.06830601092896176,0.06830601092896176,0.04086561506751327
2001-01-01,377.0,24.0,0.0,0.0,0.0636604774535809,,0.0636604774535809,0.0636604774535809,-0.037863825106096996
2001-02-01,516.0,24.0,0.0,0.0,0.046511627906976744,,0.046511627906976744,0.046511627906976744,-0.012503316071223305
2001-03-01,1019.0,50.0,0.0,0.0,0.04906771344455348,,0.04906771344455348,0.04906771344455348,0.019704935084180898
2001-04-01,4609.0,338.0,0.0,0.0,0.07333477977869386,,0.07333477977869386,0.07333477977869386,0.02171098079656364
2001-05-01,1504.0,74.0,0.0,0.0,0.04920212765957447,,0.04920212765957447,0.04920212765957447,-0.04839971845325978
2001-06-01,753.0,35.0,0.0,0.0,0.04648074369189907,,0.04648074369189907,0.04648074369189907,0.021411268151443993
2001-07-01,1158.0,21.0,0.0,0.0,0.018134715025906734,,0.018134715025906734,0.018134715025906734,-0.02562464469831694
2001-08-01,632.0,17.0,0.0,0.0,0.02689873417721519,,0.02689873417721519,0.02689873417721519,0.03711004781730079
2001-09-01,1043.0,96.0,0.0,0.0,0.09204218600191755,,0.09204218600191755,0.09204218600191755,0.0563794326733939
2001-10-01,809.0,46.0,0.0,0.0,0.05686032138442522,,0.05686032138442522,0.05686032138442522,-0.1003253164421947
2001-11-01,353.0,23.0,0.0,0.0,0.06515580736543909,,0.06515580736543909,0.06515580736543909,0.0434773505985062
2001-12-01,472.0,19.0,0.0,0.0,0.04025423728813559,,0.04025423728813559,0.04025423728813559,-0.03319705605831737
2002-01-01,553.0,30.0,0.0,0.0,0.054249547920433995,,0.054249547920433995,0.054249547920433995,0.03889688070960191
2002-02-01,978.0,49.0,0.0,0.0,0.050102249488752554,,0.050102249488752554,0.050102249488752554,-0.018142609063979846
2002-03-01,431.0,17.0,0.0,0.0,0.03944315545243619,,0.03944315545243619,0.03944315545243619,-0.006511795604634919
2002-04-01,489.0,11.0,0.0,0.0,0.022494887525562373,,0.022494887525562373,0.022494887525562373,-0.006289173890557456
2002-05-01,388.0,9.0,0.0,0.0,0.023195876288659795,,0.023195876288659795,0.023195876288659795,0.017649256689971242
2002-06-01,226.0,9.0,0.0,0.0,0.03982300884955752,,0.03982300884955752,0.03982300884955752,0.015926143797800305
2002-07-01,487.0,21.0,0.0,0.0,0.043121149897330596,,0.043121149897330596,0.043121149897330596,-0.013328991513124652
2002-08-01,507.0,33.0,0.0,0.0,0.0650887573964497,,0.0650887573964497,0.0650887573964497,0.018669466451346033
2002-09-01,407.0,9.0,0.0,0.0,0.022113022113022112,,0.022113022113022112,0.022113022113022112,-0.0649433427825467
2002-10-01,664.0,44.0,0.0,0.0,0.06626506024096386,,0.06626506024096386,0.06626506024096386,0.08712777341136935
2002-11-01,401.0,22.0,0.0,0.0,0.05486284289276808,,0.05486284289276808,0.05486284289276808,-0.05555425547613753
2002-12-01,779.0,54.0,0.0,0.0,0.0693196405648267,,0.0693196405648267,0.0693196405648267,0.02585901502025441
2003-01-01,833.0,63.0,0.0,0.0,0.07563025210084033,,0.07563025210084033,0.07563025210084033,-0.008146186136044994
2003-02-01,659.0,57.0,0.0,0.0,0.08649468892261002,,0.08649468892261002,0.08649468892261002,0.004553825285756055
2003-03-01,613.0,50.0,0.0,0.0,0.08156606851549755,,0.08156606851549755,0.08156606851549755,-0.01579305722888215
2003-04-01,1433.0,62.0,0.0,0.0,0.04326587578506629,,0.04326587578506629,0.04326587578506629,-0.03337157232331879
2003-05-01,561.0,26.0,0.0,0.0,0.04634581105169341,,0.04634581105169341,0.04634581105169341,0.041380127997058376
2003-06-01,772.0,23.0,0.0,0.0,0.029792746113989636,,0.029792746113989636,0.029792746113989636,-0.01963300020433089
2003-07-01,952.0,43.0,0.0,0.0,0.045168067226890755,,0.045168067226890755,0.045168067226890755,0.03192838605060489
2003-08-01,1191.0,26.0,0.0,0.0,0.0218303946263644,,0.0218303946263644,0.0218303946263644,-0.038712993713427485
2003-09-01,817.0,42.0,0.0,0.0,0.051407588739290085,,0.051407588739290085,0.051407588739290085,0.05291486671345204
2003-10-01,1203.0,54.0,0.0,0.0,0.04488778054862843,,0.04488778054862843,0.04488778054862843,-0.03609700230358734
2003-11-01,1067.0,32.0,0.0,0.0,0.02999062792877226,,0.02999062792877226,0.02999062792877226,-0.008377344429194515
2003-12-01,1024.0,58.0,0.0,0.0,0.056640625,,0.056640625,0.056640625,0.04154714969108391
2004-01-01,717.0,15.0,0.0,0.0,0.02092050209205021,,0.02092050209205021,0.02092050209205021,-0.06237011997917753
2004-02-01,1302.0,31.0,0.0,0.0,0.023809523809523808,,0.023809523809523808,0.023809523809523808,0.03860914462542339
2004-03-01,806.0,30.0,0.0,0.0,0.03722084367245657,,0.03722084367245657,0.03722084367245657,0.010522298145459165
2004-04-01,1217.0,83.0,0.0,0.0,0.06820049301561217,,0.06820049301561217,0.06820049301561217,0.017568329480222827
2004-05-01,679.0,60.0,0.0,0.0,0.08836524300441827,,0.08836524300441827,0.08836524300441827,-0.01081489935434949
2004-06-01,867.0,48.0,0.0,0.0,0.05536332179930796,,0.05536332179930796,0.05536332179930796,-0.05316667119391641
2004-07-01,434.0,19.0,0.0,0.0,0.04377880184331797,,0.04377880184331797,0.04377880184331797,0.021417401249120324
2004-08-01,291.0,5.0,0.0,0.0,0.01718213058419244,,0.01718213058419244,0.01718213058419244,-0.015012151303135532
2004-09-01,480.0,21.0,0.0,0.0,0.04375,,0.04375,0.04375,0.053164540674933085
2004-10-01,420.0,23.0,0.0,0.0,0.05476190476190476,,0.05476190476190476,0.05476190476190476,-0.015555964653902792
2004-11-01,294.0,7.0,0.0,0.0,0.023809523809523808,,0.023809523809523808,0.023809523809523808,-0.04196428571428572
2004-12-01,348.0,10.0,0.0,0.0,0.028735632183908046,,0.028735632183908046,0.028735632183908046,0.03587848932676519
2005-01-01,261.0,16.0,0.0,0.0,0.06130268199233716,,0.06130268199233716,0.06130268199233716,0.02764094143404488
2005-02-01,475.0,35.0,0.0,0.0,0.07368421052631578,,0.07368421052631578,0.07368421052631578,-0.020185521274450495
2005-03-01,554.0,61.0,0.0,0.0,0.11010830324909747,,0.11010830324909747,0.11010830324909747,0.024042564188803066
2005-04-01,301.0,20.0,0.0,0.0,0.0664451827242525,,0.0664451827242525,0.0664451827242525,-0.08008721324762665
2005-05-01,611.0,31.0,0.0,0.0,0.05073649754500818,,0.05073649754500818,0.05073649754500818,0.02795443534560066
2005-06-01,422.0,34.0,0.0,0.0,0.08056872037914692,,0.08056872037914692,0.08056872037914692,0.04554090801338305
2005-07-01,651.0,38.0,0.0,0.0,0.05837173579109063,,0.05837173579109063,0.05837173579109063,-0.05202920742219502
2005-08-01,624.0,32.0,0.0,0.0,0.05128205128205128,,0.05128205128205128,0.05128205128205128,0.015107300079016936
2005-09-01,667.0,26.0,0.0,0.0,0.038980509745127435,,0.038980509745127435,0.038980509745127435,-0.0052118570278845006
2005-10-01,455.0,21.0,0.0,0.0,0.046153846153846156,,0.046153846153846156,0.046153846153846156,0.019474877945642566
2005-11-01,671.0,40.0,0.0,0.0,0.05961251862891207,,0.05961251862891207,0.05961251862891207,0.006285336066347194
2005-12-01,285.0,10.0,0.0,0.0,0.03508771929824561,,0.03508771929824561,0.03508771929824561,-0.037983471805732374
2006-01-01,667.0,34.0,0.0,0.0,0.050974512743628186,,0.050974512743628186,0.050974512743628186,0.040411592776049034
2006-02-01,583.0,30.0,0.0,0.0,0.051457975986277875,,0.051457975986277875,0.051457975986277875,-0.015403330202732886
2006-03-01,1405.0,85.0,0.0,0.0,0.060498220640569395,,0.060498220640569395,0.060498220640569395,0.008556781411641831
2006-04-01,1536.0,55.0,0.0,0.0,0.035807291666666664,,0.035807291666666664,0.035807291666666664,-0.03373117362819426
2006-05-01,1012.0,55.0,0.0,0.0,0.05434782608695652,,0.05434782608695652,0.05434782608695652,0.043231463394192586
2006-06-01,1221.0,61.0,0.0,0.0,0.049959049959049956,,0.049959049959049956,0.049959049959049956,-0.02292931054819642
2006-07-01,1147.0,83.0,0.0,0.0,0.07236268526591107,,0.07236268526591107,0.07236268526591107,0.026792411434767675
2006-08-01,1024.0,51.0,0.0,0.0,0.0498046875,,0.0498046875,0.0498046875,-0.04496163307277218
2006-09-01,1492.0,66.0,0.0,0.0,0.04423592493297587,,0.04423592493297587,0.04423592493297587,0.01698923519888694
2006-10-01,1204.0,78.0,0.0,0.0,0.06478405315614617,,0.06478405315614617,0.06478405315614617,0.026116890790194427
2006-11-01,1726.0,78.0,0.0,0.0,0.04519119351100811,,0.04519119351100811,0.04519119351100811,-0.04014098786830836
2006-12-01,1724.0,107.0,0.0,0.0,0.06206496519721578,,0.06206496519721578,0.06206496519721578,0.036466631331345735
2007-01-01,1829.0,97.0,0.0,0.0,0.05303444505194095,,0.05303444505194095,0.05303444505194095,-0.025904291831482497
2007-02-01,1323.0,65.0,0.0,0.0,0.0491307634164777,,0.0491307634164777,0.0491307634164777,0.0051268385098115765
2007-03-01,2409.0,235.0,0.0,0.0,0.09755085097550852,,0.09755085097550852,0.09755085097550852,0.052323769194494066
2007-04-01,2260.0,288.0,0.0,0.0,0.12743362831858407,,0.12743362831858407,0.12743362831858407,-0.018537310215955262
2007-05-01,2489.0,274.0,0.0,0.0,0.11008437123342708,,0.11008437123342708,0.11008437123342708,-0.04723203442823255
2007-06-01,2222.0,146.0,0.0,0.0,0.06570657065706571,,0.06570657065706571,0.06570657065706571,-0.02702854349120437
2007-07-01,1795.0,71.0,0.0,0.0,0.03955431754874652,,0.03955431754874652,0.03955431754874652,0.018225547468042183
2007-08-01,1325.0,62.0,0.0,0.0,0.04679245283018868,,0.04679245283018868,0.04679245283018868,0.033390388389761355
2007-09-01,2620.0,129.0,0.0,0.0,0.04923664122137405,,0.04923664122137405,0.04923664122137405,-0.004793946890256792
2007-10-01,2947.0,142.0,0.0,0.0,0.04818459450288429,,0.04818459450288429,0.04818459450288429,-0.0034962351096751304
2007-11-01,2349.0,117.0,0.0,0.0,0.04980842911877394,,0.04980842911877394,0.04980842911877394,0.002675881334379418
2007-12-01,2335.0,150.0,0.0,0.0,0.06423982869379015,,0.06423982869379015,0.06423982869379015,0.01280756495912655
2008-01-01,2343.0,110.0,0.0,0.0,0.046948356807511735,,0.046948356807511735,0.046948356807511735,-0.03172287146129462
2008-02-01,3027.0,204.0,0.0,0.0,0.06739345887016848,,0.06739345887016848,0.06739345887016848,0.03773657394893516
2008-03-01,2667.0,249.0,0.0,0.0,0.09336332958380203,,0.09336332958380203,0.09336332958380203,0.0055247686509768
2008-04-01,3644.0,263.0,0.0,0.0,0.07217343578485182,,0.07217343578485182,0.07217343578485182,-0.04715976451258376
2008-05-01,2571.0,182.0,0.0,0.0,0.07078957604045119,,0.07078957604045119,0.07078957604045119,0.019806034054549587
2008-06-01,2397.0,163.0,0.0,0.0,0.06800166875260742,,0.06800166875260742,0.06800166875260742,-0.0014040475434431432
2008-07-01,2078.0,93.0,0.0,0.0,0.04475457170356112,,0.04475457170356112,0.04475457170356112,-0.020459189761202534
2008-08-01,1713.0,101.0,0.0,0.0,0.05896088733216579,,0.05896088733216579,0.05896088733216579,0.037453412677650975
2008-09-01,1547.0,127.0,0.0,0.0,0.08209437621202327,,0.08209437621202327,0.08209437621202327,0.008927173251252807
2008-10-01,1812.0,129.0,0.0,0.0,0.07119205298013245,,0.07119205298013245,0.07119205298013245,-0.0340358121117483
2008-11-01,2062.0,147.0,0.0,0.0,0.07129000969932105,,0.07129000969932105,0.07129000969932105,0.011000279951079411
2008-12-01,2246.0,133.0,0.0,0.0,0.059216384683882455,,0.059216384683882455,0.059216384683882455,-0.01217158173462718
2009-01-01,2751.0,161.0,0.0,0.0,0.058524173027989825,,0.058524173027989825,0.058524173027989825,0.011381413359545962
2009-02-01,3758.0,176.0,0.0,0.0,0.04683342203299627,,0.04683342203299627,0.04683342203299627,-0.010998539339100923
2009-03-01,4424.0,268.0,0.0,0.0,0.06057866184448463,,0.06057866184448463,0.06057866184448463,0.025435990806481908
2009-04-01,3911.0,200.0,0.0,0.0,0.05113781641523907,,0.05113781641523907,0.05113781641523907,-0.023186085240733914
