tau,h,coef,se
τ = 0.50,44,0.0953976239368562,0.1390291363759887
τ = 0.50,45,-0.019540341039718172,0.13899116587903482
τ = 0.50,46,0.005890448172491006,0.13647162826129278
τ = 0.50,47,0.07827317497310646,0.13273915414211843
τ = 0.50,48,0.10323062119126143,0.13706457078870565
τ = 0.75,0,-0.053662374132827005,0.03381423224590165
τ = 0.75,1,-0.07928492367347055,0.04771085781808623
τ = 0.75,2,-0.07844517980361149,0.05142721821313748
τ = 0.75,3,-0.010522381689456515,0.04652283537158933
τ = 0.75,4,-0.04671322084758827,0.056690367865440634
τ = 0.75,5,-0.007761984022492326,0.0600954584365231
τ = 0.75,6,-0.1108488963129043,0.0661365683412545
τ = 0.75,7,-0.0502960299279866,0.06217385563931627
τ = 0.75,8,0.01616591995671901,0.06213896785548233
τ = 0.75,9,-0.019229607665530658,0.06877311500219667
τ = 0.75,10,0.040015889202489864,0.07979644680465875
τ = 0.75,11,-0.005604181776043887,0.08691892428479524
τ = 0.75,12,-0.05598367033327519,0.08604698147045751
τ = 0.75,13,-0.04643932655641344,0.0866940599194683
τ = 0.75,14,0.0033064846402530838,0.09130820063660827
τ = 0.75,15,0.018950637116542643,0.09312978369847741
τ = 0.75,16,0.04878231243841998,0.10369421551650956
τ = 0.75,17,0.12232787369661756,0.09471367415246032
τ = 0.75,18,0.09470969663131511,0.09950619092069032
τ = 0.75,19,0.08362577766558495,0.0966325692666282
τ = 0.75,20,-0.0003688136133357496,0.09824280138634336
τ = 0.75,21,0.05873880360428896,0.09295142749938391
τ = 0.75,22,0.08350127054921491,0.09674664398809601
τ = 0.75,23,0.23327820784852013,0.08681402254096067
τ = 0.75,24,0.21272674134941122,0.09057362840224675
τ = 0.75,25,0.15782677713476004,0.0940392467715271
τ = 0.75,26,0.16835953437812815,0.09687352716014316
τ = 0.75,27,0.09509457084152896,0.09657845682656481
τ = 0.75,28,0.17744794260920274,0.0928597337230069
τ = 0.75,29,0.1983212867930937,0.08925163620625419
τ = 0.75,30,0.2662947878751722,0.09419438524674068
τ = 0.75,31,0.23740101219450555,0.10997868053059666
τ = 0.75,32,0.22931581488010058,0.10438742370463315
τ = 0.75,33,0.29647013527269617,0.09933372280317818
τ = 0.75,34,0.2345000734233163,0.10277116797528729
τ = 0.75,35,0.21933035408030502,0.10433050397605502
τ = 0.75,36,0.1313467156312135,0.10572683409152261
τ = 0.75,37,0.2095260404024165,0.11599253587469131
τ = 0.75,38,0.22424468780763848,0.10784797063735152
τ = 0.75,39,0.12191307004256666,0.11371910309419866
τ = 0.75,40,0.14804524969080846,0.10956659435616263
τ = 0.75,41,0.16980011341643184,0.11364917885423287
τ = 0.75,42,0.07251430184789877,0.1233512879407104
τ = 0.75,43,0.042956185143630414,0.11851508062791523
τ = 0.75,44,0.08493037812723123,0.12270340367343473
τ = 0.75,45,-0.062227782313558445,0.12381786870758076
τ = 0.75,46,0.10407202269540776,0.1218521840883263
τ = 0.75,47,0.055308510357298314,0.1483112692555617
τ = 0.75,48,0.009192654240309794,0.14053430953011647
τ = 0.90,0,-0.022567622670740507,0.045819214596885295
τ = 0.90,1,-0.11809326832248451,0.04385939053699442
τ = 0.90,2,-0.015671027929155798,0.06238166319860448
τ = 0.90,3,-0.10087840547673496,0.07051157993811653
τ = 0.90,4,-0.10955115608366107,0.06084320428305046
τ = 0.90,5,-0.12360004970256938,0.06831615283935019
τ = 0.90,6,-0.1169463452665045,0.056138906297834856
τ = 0.90,7,-0.22619230853334948,0.06490535843374381
τ = 0.90,8,-0.16605148646836385,0.07093740478948793
